date,data_source,cpi,Alimentos y Bebidas No Alcohólicas,Bebidas Alcohólicas y Tabaco,Prendas de Vestir y Calzado,Vivienda y Servicios Básicos,"Muebles, Bienes y Servicios Domésticos",Salud,Transporte,Comunicaciones,Recreación y Cultura,Educación,Bienes y Servicios Diversos
2022-01-29,2022_01.csv,98.58697818955912,98.76985697641298,100.85813038220284,100.0,100.0,91.7175862247146,100.0,100.0,100.0,97.80820062898331,100.0,96.34558382709201
2022-01-30,2022_01.csv,98.58697818955912,98.76985697641298,100.85813038220284,100.0,100.0,91.7175862247146,100.0,100.0,100.0,97.80820062898331,100.0,96.34558382709201
2022-01-31,2022_01.csv,98.58771402135223,98.76985697641298,100.85813038220284,100.0,100.0,91.72968630081259,100.0,100.0,100.0,97.80820062898331,100.0,96.34558382709201
2022-02-01,2022_02.csv,99.01086257294637,99.4084147338161,101.17882150051373,100.0,100.0,92.26325233750751,100.0,100.0,100.0,98.83656572928346,100.0,97.16630143585961
2022-02-02,2022_02.csv,98.97615195104402,99.32586018873253,101.13322565313287,100.0,100.0,92.26325233750751,100.0,100.0,100.0,98.83656572928346,100.0,97.16038332483612
2022-02-03,2022_02.csv,98.7779732450938,99.32974226730333,101.13322565313287,100.0,100.0,92.26325233750751,100.0,100.0,100.0,95.62545462589273,100.0,97.16038332483612
2022-02-04,2022_02.csv,98.7740072993705,99.32007352179208,101.13322565313287,100.0,100.0,92.26325233750751,100.0,100.0,100.0,95.62545462589273,100.0,97.16038332483612
2022-02-05,2022_02.csv,98.70509081898685,99.18819327465846,101.13322565313287,100.0,100.0,92.23317881189234,100.0,100.0,100.0,95.62545462589273,100.0,96.98832852509231
2022-02-06,2022_02.csv,98.70509081898685,99.18819327465846,101.13322565313287,100.0,100.0,92.23317881189234,100.0,100.0,100.0,95.62545462589273,100.0,96.98832852509231
2022-02-07,2022_02.csv,98.7757332409872,99.35416238447252,101.184238690099,100.0,100.0,92.26797234570644,100.0,100.0,100.0,95.62545462589273,100.0,96.98832852509231
2022-02-08,2022_02.csv,98.78662043322161,99.40895406543102,101.184238690099,100.0,100.0,92.2766892972282,100.0,100.0,100.0,95.62545462589273,100.0,96.82786436326944
2022-02-09,2022_02.csv,98.78465678306902,99.40895406543102,101.184238690099,100.0,100.0,92.2766892972282,100.0,100.0,100.0,95.62545462589273,100.0,96.8018609536991
2022-02-10,2022_02.csv,98.76748176263582,99.3678588974946,101.14805038800937,100.0,100.0,92.2766892972282,100.0,100.0,100.0,95.62545462589273,100.0,96.8018609536991
2022-02-11,2022_02.csv,98.72228972866894,99.29464325146176,101.12500731552905,100.0,100.0,92.03072745373798,100.0,100.0,100.0,95.62545462589273,100.0,96.8018609536991
2022-02-12,2022_02.csv,98.72541610632472,99.26656964782913,101.12500731552905,100.0,100.0,92.0457644658509,100.0,100.0,100.0,95.82717776396005,100.0,96.8174544332452
2022-02-13,2022_02.csv,98.72541610632472,99.26656964782913,101.12500731552905,100.0,100.0,92.0457644658509,100.0,100.0,100.0,95.82717776396005,100.0,96.8174544332452
2022-02-14,2022_02.csv,98.73966403895659,99.30348484076738,101.12500731552905,100.0,100.0,92.03106318988698,100.0,100.0,100.0,95.82717776396005,100.0,96.8174544332452
2022-02-15,2022_02.csv,98.72617572757788,99.29564996419695,101.03540920358361,100.0,100.0,91.99686891286002,100.0,100.0,100.0,95.82717776396005,100.0,96.71937422918502
2022-02-16,2022_02.csv,98.72759631128422,99.2986388102885,101.0575198635214,100.0,100.0,91.99686891286002,100.0,100.0,100.0,95.82717776396005,100.0,96.71937422918502
2022-02-17,2022_02.csv,98.71704218454612,99.27511591593844,101.0575198635214,100.0,100.0,91.98197948950816,100.0,100.0,100.0,95.82717776396005,100.0,96.71937422918502
2022-02-18,2022_02.csv,98.66872751685273,99.15732756002559,101.0575198635214,100.0,100.0,91.98197948950816,100.0,100.0,100.0,95.82717776396005,100.0,96.71937422918502
2022-02-19,2022_02.csv,98.66109776205845,99.14191627708414,100.90887648749573,100.0,100.0,91.98197948950816,100.0,100.0,100.0,95.82717776396005,100.0,96.71937422918502
2022-02-20,2022_02.csv,98.66109776205845,99.14191627708414,100.90887648749573,100.0,100.0,91.98197948950816,100.0,100.0,100.0,95.82717776396005,100.0,96.71937422918502
2022-02-21,2022_02.csv,98.67632261132734,99.14191627708414,100.9019816985499,100.0,100.0,92.23333604282642,100.0,100.0,100.0,95.82717776396005,100.0,96.71937422918502
2022-02-22,2022_02.csv,98.63170182672114,99.13270892884258,100.97691670542439,100.0,100.0,92.23333604282642,100.0,100.0,100.0,95.82717776396005,100.0,96.16976687824575
2022-02-23,2022_02.csv,98.62394743712204,99.11478071389625,100.93140786773291,100.0,100.0,92.23333604282642,100.0,100.0,100.0,95.82717776396005,100.0,96.16976687824575
2022-02-24,2022_02.csv,98.59722785721358,99.04963992874026,100.93140786773291,100.0,100.0,92.23333604282642,100.0,100.0,100.0,95.82717776396005,100.0,96.16976687824575
2022-02-25,2022_02.csv,98.56290183397063,98.96440112861883,100.8909999749307,100.0,100.0,92.23333604282642,100.0,100.0,100.0,95.82717776396005,100.0,96.18291738616809
2022-02-26,2022_02.csv,98.68825009780154,98.97040533580098,100.8436418638792,100.0,100.0,92.23333604282642,100.0,100.0,100.0,97.80913307248133,100.0,96.18291738616809
2022-02-27,2022_02.csv,98.67699334787083,98.97040533580098,100.86686364640849,100.0,100.0,92.23333604282642,100.0,100.0,100.0,97.62490718394439,100.0,96.18291738616809
2022-02-28,2022_02.csv,98.67629934027069,98.97040533580098,100.86686364640849,100.0,100.0,92.22192372705932,100.0,100.0,100.0,97.62490718394439,100.0,96.18291738616809
2022-03-01,2022_03.csv,98.63899751073389,99.07700771960747,100.88415101083054,100.0,100.0,92.2588345688481,100.0,100.0,100.0,95.9521257645393,100.0,96.45627751238538
2022-03-02,2022_03.csv,99.56731835405341,100.52761280448054,101.68320069673915,100.0,100.0,94.83302557407369,100.0,100.0,100.0,97.2685922880686,100.0,97.6193949392357
2022-03-03,2022_03.csv,99.563558556635,100.51844663657286,101.68320069673915,100.0,100.0,94.83302557407369,100.0,100.0,100.0,97.2685922880686,100.0,97.6193949392357
2022-03-04,2022_03.csv,99.25668205065807,99.91347315378387,101.21864100413767,100.0,100.0,94.54071972375546,100.0,100.0,100.0,96.9234362607989,100.0,97.41560050885745
2022-03-05,2022_03.csv,99.24919981701234,99.89523190238425,101.21864100413767,100.0,100.0,94.54071972375546,100.0,100.0,100.0,96.9234362607989,100.0,97.41560050885745
2022-03-06,2022_03.csv,99.24919981701234,99.89523190238425,101.21864100413767,100.0,100.0,94.54071972375546,100.0,100.0,100.0,96.9234362607989,100.0,97.41560050885745
2022-03-07,2022_03.csv,99.29594809589852,99.96531857390427,101.9855849727898,100.0,100.0,94.60284508702348,100.0,100.0,100.0,96.9234362607989,100.0,97.51454165096592
2022-03-08,2022_03.csv,99.30302243329335,100.01215101529408,101.93323291184657,100.0,100.0,94.60284508702348,100.0,100.0,100.0,96.9234362607989,100.0,97.3599408092399
2022-03-09,2022_03.csv,99.30315645832287,100.01215101529408,101.94845998281417,100.0,100.0,94.60284508702348,100.0,100.0,100.0,96.9234362607989,100.0,97.3599408092399
2022-03-10,2022_03.csv,99.30315645832287,100.01215101529408,101.94845998281417,100.0,100.0,94.60284508702348,100.0,100.0,100.0,96.9234362607989,100.0,97.3599408092399
2022-03-11,2022_03.csv,99.28896509534638,99.97755329594787,101.94845998281417,100.0,100.0,94.60284508702348,100.0,100.0,100.0,96.9234362607989,100.0,97.3599408092399
2022-03-12,2022_03.csv,99.29563987247298,99.9938260152143,101.94845998281417,100.0,100.0,94.60284508702348,100.0,100.0,100.0,96.9234362607989,100.0,97.3599408092399
2022-03-13,2022_03.csv,99.29563987247298,99.9938260152143,101.94845998281417,100.0,100.0,94.60284508702348,100.0,100.0,100.0,96.9234362607989,100.0,97.3599408092399
2022-03-14,2022_03.csv,99.27794865358885,99.99838582652643,101.90305299396684,100.0,100.0,94.28774512390497,100.0,100.0,100.0,96.9234362607989,100.0,97.3599408092399
2022-03-15,2022_03.csv,99.27877628918195,99.9988170418711,101.90305299396684,100.0,100.0,94.28774512390497,100.0,100.0,100.0,96.9234362607989,100.0,97.36855840729484
2022-03-16,2022_03.csv,99.23330824401819,99.88667773154215,101.90305299396684,100.0,100.0,94.28774512390497,100.0,100.0,100.0,96.9234362607989,100.0,97.37557005777401
2022-03-17,2022_03.csv,99.21871276831364,99.89163857819844,101.90305299396684,100.0,100.0,94.2696160293293,100.0,100.0,100.0,96.9234362607989,100.0,97.16994421839696
2022-03-18,2022_03.csv,99.29368518701915,99.86003549780655,101.79140310516662,100.0,100.0,94.98987835496176,100.0,100.0,100.0,96.9234362607989,100.0,97.76740669672112
2022-03-19,2022_03.csv,99.29368518701915,99.86003549780655,101.79140310516662,100.0,100.0,94.98987835496176,100.0,100.0,100.0,96.9234362607989,100.0,97.76740669672112
2022-03-20,2022_03.csv,99.29368518701915,99.86003549780655,101.79140310516662,100.0,100.0,94.98987835496176,100.0,100.0,100.0,96.9234362607989,100.0,97.76740669672112
2022-03-21,2022_03.csv,99.3282123044271,99.94421060627877,101.79140310516662,100.0,100.0,94.98987835496176,100.0,100.0,100.0,96.9234362607989,100.0,97.76740669672112
2022-03-22,2022_03.csv,96.80089956308443,99.98380462387681,101.79140310516662,100.0,100.0,75.04196299219213,100.0,100.0,100.0,88.63121073232035,100.0,86.98018678303117
2022-03-23,2022_03.csv,96.80282393658315,99.97698505067694,101.79140310516662,100.0,100.0,74.75951484008147,100.0,100.0,100.0,88.63121073232035,100.0,87.27016748821808
2022-03-24,2022_03.csv,96.80279159414074,99.97690620167938,101.79140310516662,100.0,100.0,74.75951484008147,100.0,100.0,100.0,88.63121073232035,100.0,87.27016748821808
2022-03-25,2022_03.csv,96.80023489528348,99.969677140175,101.83781794669493,100.0,100.0,74.75951484008147,100.0,100.0,100.0,88.63121073232035,100.0,87.27016748821808
2022-03-26,2022_03.csv,96.80482416577907,99.98086551530663,101.83781794669493,100.0,100.0,74.75951484008147,100.0,100.0,100.0,88.63121073232035,100.0,87.27016748821808
2022-03-27,2022_03.csv,96.80482416577907,99.98086551530663,101.83781794669493,100.0,100.0,74.75951484008147,100.0,100.0,100.0,88.63121073232035,100.0,87.27016748821808
2022-03-28,2022_03.csv,96.80876833549334,99.9895074445377,101.88319586745277,100.0,100.0,74.75951484008147,100.0,100.0,100.0,88.63121073232035,100.0,87.27016748821808
2022-03-29,2022_03.csv,96.85048385429572,100.04966587949582,101.88319586745277,100.0,100.0,75.03971552301395,100.0,100.0,100.0,88.63121073232035,100.0,87.27016748821808
2022-03-30,2022_03.csv,96.85048385429572,100.04966587949582,101.88319586745277,100.0,100.0,75.03971552301395,100.0,100.0,100.0,88.63121073232035,100.0,87.27016748821808
2022-03-31,2022_03.csv,96.90946072400637,100.19344806514981,101.88319586745277,100.0,100.0,75.03971552301395,100.0,100.0,100.0,88.63121073232035,100.0,87.27016748821808
2022-04-01,2022_04.csv,98.18080881435588,101.97837541025046,103.34142493893692,100.0,100.0,76.51747513990989,100.0,100.0,100.0,94.18825499676016,100.0,88.47237626598219
2022-04-02,2022_04.csv,97.43498958720403,101.02921053642577,102.39016915029316,100.0,100.0,76.45614002466633,100.0,100.0,100.0,91.64736315848937,100.0,86.00517295123264
2022-04-03,2022_04.csv,97.42948112452196,101.01578122408841,102.39016915029316,100.0,100.0,76.45614002466633,100.0,100.0,100.0,91.64736315848937,100.0,86.00517295123264
2022-04-04,2022_04.csv,100.46677963581486,101.02878807916562,102.39016915029316,100.0,100.0,97.1188820615308,100.0,100.0,100.0,101.58073768165941,100.0,101.33240909879486
2022-04-05,2022_04.csv,100.13559216564192,101.15315879655247,102.36693313112153,100.0,100.0,97.10320800402387,100.0,100.0,100.0,101.58073768165941,100.0,96.28647261913767
2022-04-06,2022_04.csv,100.13699118686206,101.16000415621602,102.36693313112153,100.0,100.0,97.10320800402387,100.0,100.0,100.0,101.58073768165941,100.0,96.2678164524872
2022-04-07,2022_04.csv,99.95783144797294,101.20050460046694,102.3954566667542,100.0,100.0,97.10320800402387,100.0,100.0,100.0,101.58073768165941,100.0,93.67199994596754
2022-04-08,2022_04.csv,99.92997362336206,101.13670997962049,102.3954566667542,100.0,100.0,97.10320800402387,100.0,100.0,100.0,101.58073768165941,100.0,93.6496147931619
2022-04-09,2022_04.csv,99.92330842584246,101.12046061487995,102.3954566667542,100.0,100.0,97.10320800402387,100.0,100.0,100.0,101.58073768165941,100.0,93.6496147931619
