date,data_source,cpi,Alimentos y Bebidas No Alcohólicas,Bebidas Alcohólicas y Tabaco,Prendas de Vestir y Calzado,"Muebles, Bienes y Servicios Domésticos",Bienes y Servicios Diversos
2025-05-11,2025_05.csv,116.4983122024131,118.03933117760403,114.93496443546213,100.0,111.41614163214089,128.92286785537146
2025-05-12,2025_05.csv,116.64053619360102,118.23119931103469,115.54935963880243,100.0,111.47713895308671,128.94822490462346
2025-05-13,2025_05.csv,116.63201335099583,118.21808980331622,115.54935963880243,100.0,111.47713895308671,128.94822490462346
2025-05-14,2025_05.csv,117.18416236556476,118.9715139228151,116.2768118197242,100.0,111.50807334445045,129.35927095490888
2025-05-15,2025_05.csv,117.68371726241361,119.64809770573528,116.35191491359016,100.0,111.77032605533434,129.63803052456353
2025-05-16,2025_05.csv,118.02737722285413,119.92536889106424,117.24521442635678,100.0,112.54028908272733,130.27905042078385
2025-05-17,2025_05.csv,118.18296091046768,120.13619808929342,117.23971023130127,100.0,112.67619022485354,130.32496808208282
2025-05-18,2025_05.csv,118.97435329159313,120.67653162548298,117.90574885210269,100.0,114.24791840425142,132.6587073887338
2025-05-19,2025_05.csv,119.10746378347405,120.8803442918693,117.90574885210269,100.0,114.24791840425142,132.6637739290443
2025-05-20,2025_05.csv,119.10746378347405,120.8803442918693,117.90574885210269,100.0,114.24791840425142,132.6637739290443
2025-05-21,2025_05.csv,119.42686749777629,121.16614580975101,117.90574885210269,100.0,114.62114576833608,133.47940885304706
2025-05-22,2025_05.csv,119.5648527013228,121.33865669628267,117.90574885210269,100.0,114.83379413307595,133.52398277694547
2025-05-23,2025_05.csv,120.05553181188648,121.8969642479877,118.51059376886846,100.0,114.83195127135673,134.52196776653915
2025-05-24,2025_05.csv,120.3236309649308,122.3157104388971,119.85009337793247,100.0,115.19922434358814,134.03549536252575
2025-05-25,2025_05.csv,120.59336403321299,122.6808445423292,120.46634714577341,100.0,115.31266769908933,134.14259118349827
2025-05-26,2025_05.csv,120.9164595288734,123.16594060115538,120.70374797039487,100.0,115.3193886908928,134.17402140044715
2025-05-27,2025_05.csv,120.9164595288734,123.16594060115538,120.70374797039487,100.0,115.3193886908928,134.17402140044715
2025-05-28,2025_05.csv,121.55901421821403,123.88891505714683,124.28985169611674,100.0,115.38089742116468,135.1479847123294
2025-05-29,2025_05.csv,121.5967844547011,123.94701177788822,124.28985169611674,100.0,115.38089742116468,135.1479847123294
2025-05-30,2025_05.csv,121.81674134275963,124.14417434370834,124.3798240767425,100.0,115.84336274528185,135.53186270025853
2025-05-31,2025_05.csv,121.99021327551694,124.37839655599399,124.27914415815319,100.0,116.07786190989609,135.53186270025853
2025-06-01,2025_06.csv,123.42184024212996,124.8649297296994,124.77010909150333,100.0,119.6613802108144,141.9072882882532
2025-06-02,2025_06.csv,123.42349667068123,124.86747758419864,124.77010909150333,100.0,119.6613802108144,141.9072882882532
2025-06-03,2025_06.csv,123.76928042511123,124.96183881497244,124.7733658445956,100.0,120.33168178840805,143.7435777744679
2025-06-04,Forward Fill,123.76928042511123,124.96183881497244,124.7733658445956,100.0,120.33168178840805,143.7435777744679
2025-06-05,Forward Fill,123.76928042511123,124.96183881497244,124.7733658445956,100.0,120.33168178840805,143.7435777744679
2025-06-06,Forward Fill,123.76928042511123,124.96183881497244,124.7733658445956,100.0,120.33168178840805,143.7435777744679
