date,data_source,cpi,Alimentos y Bebidas No Alcohólicas,Bebidas Alcohólicas y Tabaco,"Muebles, Bienes y Servicios Domésticos",Bienes y Servicios Diversos,Prendas de Vestir y Calzado
2024-12-18,2024_12.csv,108.58842066495691,108.94178638901133,104.62620063465202,105.95184189493577,110.62007112803836,107.22422267668446
2024-12-19,2024_12.csv,108.60063095543191,108.96056778679633,104.62620063465202,105.95184189493577,110.62007112803836,107.22422267668446
2024-12-20,2024_12.csv,108.60063095543191,108.96056778679633,104.62620063465202,105.95184189493577,110.62007112803836,107.22422267668446
2024-12-21,2024_12.csv,108.60114481876504,108.96135819155258,104.62620063465202,105.95184189493577,110.62007112803836,107.22422267668446
2024-12-22,2024_12.csv,108.60114481876504,108.96135819155258,104.62620063465202,105.95184189493577,110.62007112803836,107.22422267668446
2024-12-23,2024_12.csv,108.60560825694459,108.96422383284467,104.62620063465202,105.96083838115112,110.63455259754681,107.22422267668446
2024-12-24,2024_12.csv,108.60560825694459,108.96422383284467,104.62620063465202,105.96083838115112,110.63455259754681,107.22422267668446
2024-12-25,2024_12.csv,108.62839020709133,108.99275536523359,104.68017685947693,105.92599072177333,110.69168928140867,107.22422267668446
2024-12-26,2024_12.csv,108.63241022881687,108.99893880757564,104.68017685947693,105.92599072177333,110.69168928140867,107.22422267668446
2024-12-27,2024_12.csv,108.63241022881687,108.99893880757564,104.68017685947693,105.92599072177333,110.69168928140867,107.22422267668446
2024-12-28,2024_12.csv,108.63207486417372,108.99842296261855,104.68017685947693,105.92599072177333,110.69168928140867,107.22422267668446
2024-12-29,2024_12.csv,108.5953791063572,108.94197896351918,104.68017685947693,105.92599072177333,110.69168928140867,107.22422267668446
2024-12-30,2024_12.csv,108.591819361034,108.93650350058363,104.68017685947693,105.92599072177333,110.69168928140867,107.22422267668446
2024-12-31,2024_12.csv,108.591819361034,108.93650350058363,104.68017685947693,105.92599072177333,110.69168928140867,107.22422267668446
2025-01-01,2025_01.csv,108.591819361034,108.93650350058363,104.68017685947693,105.92599072177333,110.69168928140867,107.22422267668446
2025-01-02,2025_01.csv,109.42220852299735,109.91730460585116,106.18328807438058,106.38258937515201,111.75916442418603,107.22422267668446
2025-01-03,2025_01.csv,109.42220852299735,109.91730460585116,106.18328807438058,106.38258937515201,111.75916442418603,107.22422267668446
2025-01-04,2025_01.csv,109.6812495492613,110.30146768804767,106.50691382588063,106.43043688469947,111.7604990488855,107.22422267668446
2025-01-05,2025_01.csv,109.8507380323798,110.38669402122078,106.7582435255729,107.0550206672477,112.18136819564883,107.22422267668446
