date,la_paz_cpi,cochabamba_cpi,santa_cruz_cpi,cpi
2025-02-05,111.445144,111.886409,110.961583,111.3303468782513
2025-02-06,111.441168,111.882771,111.061419,111.36948890516429
2025-02-07,111.480951,111.896049,111.092507,111.40051574699824
2025-02-08,111.361448,111.751576,111.055656,111.31043778888119
2025-02-09,111.350529,111.782683,111.138604,111.34661291920213
2025-02-10,111.284676,111.754829,111.120208,111.3078246552792
2025-02-11,111.32293,111.744828,111.138328,111.32835231128291
2025-02-12,111.329022,111.742375,111.139554,111.33076592205322
2025-02-13,111.355148,111.782176,111.203963,111.37542564412504
2025-02-14,111.316908,111.787211,111.242281,111.3773441743418
2025-02-15,111.165582,111.405631,111.25156,111.2478825080297
2025-02-16,111.065561,111.425552,111.253875,111.21360779744185
2025-02-17,111.133739,111.441215,111.296594,111.26102333315951
2025-02-18,111.133584,111.442689,111.296017,111.26100985634064
2025-02-19,111.279231,111.449891,111.356355,111.34437657431987
2025-02-20,111.231037,111.38005,111.429663,111.34236497324375
2025-02-21,111.136602,111.37604,111.379918,111.28403414623929
2025-02-22,111.128984,111.366569,111.415341,111.2939058179783
2025-02-23,111.207725,111.453637,111.426657,111.34630271583654
2025-02-24,111.176508,111.458863,111.435519,111.3387883397322
2025-02-25,111.161202,111.46305,111.435263,111.33351149981863
2025-02-26,111.248491,111.468398,111.470936,111.3834725487737
2025-02-27,111.29553,111.518188,111.509264,111.4274335198383
2025-02-28,111.294621,111.511311,111.552272,111.44357789149458
2025-03-01,111.117841,111.487434,111.491006,111.34441397679387
2025-03-02,111.163676,111.522784,111.626377,111.42534350968074
2025-03-03,111.162019,111.523498,111.627452,111.42528022145481
2025-03-04,111.157577,111.5197,111.625943,111.42217971564116
2025-03-05,111.157627,111.518617,111.630391,111.4238334759129
2025-03-06,111.162501,111.515584,111.630182,111.42506306408245
2025-03-07,111.358066,111.720066,111.756432,111.59361479491955
2025-03-08,111.382818,111.734852,111.861573,111.64976878100677
2025-03-09,111.425985,111.773585,111.863895,111.67513518878398
2025-03-10,111.318596,111.704632,111.876389,111.62493195682488
2025-03-11,111.490467,111.943292,111.875941,111.73831759751272
2025-03-12,111.55135,111.956815,111.844751,111.75181400989733
2025-03-13,111.462931,111.994978,111.866531,111.7336924255411
2025-03-14,111.474691,112.000875,111.883861,111.74662313993714
2025-03-15,111.503234,112.03589,111.878318,111.76228776007648
2025-03-16,111.388866,111.931918,111.808188,111.66828596146176
2025-03-17,111.382798,111.940602,111.805204,111.66636341812494
2025-03-18,111.388456,111.930449,111.802703,111.66556550955528
2025-03-19,111.426616,111.948836,111.828343,111.69469117025162
2025-03-20,111.460267,111.996149,111.832723,111.71885773767731
2025-03-21,111.641647,112.021779,111.860763,111.8063814551343
2025-03-22,111.520039,112.02335,111.902275,111.77635674038916
2025-03-23,111.545715,112.038073,111.939527,111.8047051871944
2025-03-24,111.557508,112.038054,111.975862,111.82438091000884
2025-03-25,111.536494,112.028615,111.992255,111.82112928886335
2025-03-26,111.728094,112.056433,112.028519,111.91648452950838
2025-03-27,111.71796,112.018338,112.186449,111.97061598851711
2025-03-28,111.936089,112.155747,112.249681,112.10882215495823
2025-03-29,112.123938,112.343037,112.408519,112.28453125044776
2025-03-30,112.200302,112.433022,112.56373,112.39624096186378
2025-03-31,112.422082,112.730195,112.591457,112.55219404835967
2025-04-01,112.139463,112.619551,112.478994,112.37355786835708
2025-04-02,113.950824,114.52429,112.86076,113.61018936031562
2025-04-03,114.178684,114.696644,112.944806,113.76762216774372
2025-04-04,114.278146,114.887059,112.980497,113.8583105791398
2025-04-05,114.303001,114.883102,113.183632,113.95150240355679
2025-04-06,114.19505,114.826539,114.335751,114.3761060591224
2025-04-07,114.203521,114.849361,114.453263,114.43258650958768
2025-04-08,114.06794,114.736149,114.449085,114.35584679360545
2025-04-09,114.083582,114.747765,114.516525,114.39218788294886
2025-04-10,114.082922,114.733115,114.526986,114.3934215119015
2025-04-11,114.089405,114.744084,114.581492,114.42069202954082
2025-04-12,114.371626,114.963414,114.595193,114.57933345355288
2025-04-13,114.508339,115.070064,114.749144,114.71735372975104
2025-04-14,114.51846,115.080315,114.751526,114.724290514071
2025-04-15,114.526213,115.091963,114.797702,114.74873493391915
2025-04-16,114.593619,115.157778,115.100957,114.91364180351351
2025-04-17,114.848145,115.420329,115.330408,115.1593281818069
2025-04-18,115.100304,115.630876,115.411134,115.33230574531179
2025-04-19,115.109112,115.701042,115.247436,115.28149553095238
2025-04-20,115.113889,115.756099,115.248194,115.29437575366299
2025-04-21,115.122134,115.707726,115.330627,115.32238609461442
2025-04-22,115.136697,115.731106,115.385148,115.35523350042631
2025-04-23,115.236382,115.740321,115.427469,115.41354949087102
2025-04-24,115.256927,115.781989,115.477557,115.45045083638047
2025-04-25,115.269091,115.773202,115.499872,115.46275359283419
2025-04-26,115.289537,115.887289,115.567753,115.52106706174749
2025-04-27,115.342627,115.954737,115.687786,115.60470921808562
2025-04-28,115.396627,115.977681,115.708235,115.6387606046892
2025-04-29,115.409925,115.990332,115.699584,115.64283031515438
2025-04-30,115.670445,116.227524,115.857747,115.85636848645308
2025-05-01,116.034552,116.611815,115.833889,116.06350271983621
2025-05-02,117.33421,117.943317,116.388562,117.06039222165793
2025-05-03,117.3332,117.944085,116.384933,117.05864156926063
2025-05-04,118.130079,118.401078,116.776716,117.6214777402331
2025-05-05,118.131018,118.406428,116.861706,117.65813102135837
2025-05-06,118.132084,118.407929,116.86238,117.65911897855923
2025-05-07,120.02302,119.12852,116.867486,118.54056279671033
2025-05-08,121.118748,121.560429,117.348377,119.64094368954024
2025-05-09,121.268426,121.696632,118.189866,120.07490745479274
2025-05-10,121.091397,121.618119,118.422776,120.0870288835556
2025-05-11,120.926849,121.637466,118.810523,120.18725850562976
2025-05-12,120.967087,121.709426,118.927722,120.26557729002977
2025-05-13,120.988829,121.730143,118.915914,120.27320644709113
2025-05-14,121.389066,122.150977,119.433923,120.72628743748012
2025-05-15,121.33508,122.156884,119.889656,120.89532721037922
2025-05-16,121.447261,122.234945,120.35718,121.14824423896107
2025-05-17,121.467092,122.255098,120.492451,121.21601245800991
2025-05-18,122.273661,123.119491,123.246319,122.84139058434644
